# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
2.2047638e-05  	-2.41396594e-03	3.37888478e-06
2.2047841e-05  	-2.41398827e-03	3.37891529e-06
2.2048043e-05  	-2.41401066e-03	3.37894590e-06
2.2048246e-05  	-2.41403311e-03	3.37897661e-06
2.2048448e-05  	-2.41405561e-03	3.37900742e-06
2.2048651e-05  	-2.41407815e-03	3.37903831e-06
2.2048853e-05  	-2.41410073e-03	3.37906929e-06
2.2049056e-05  	-2.41412334e-03	3.37910036e-06
2.2049258e-05  	-2.41414601e-03	3.37913152e-06
2.2049461e-05  	-2.41416871e-03	3.37916280e-06
2.2049663e-05  	-2.41419146e-03	3.37919420e-06
2.2049866e-05  	-2.41421424e-03	3.37922570e-06
2.2050068e-05  	-2.41423704e-03	3.37925730e-06
2.2050271e-05  	-2.41425987e-03	3.37928897e-06
2.2050473e-05  	-2.41428271e-03	3.37932072e-06
2.2050676e-05  	-2.41430558e-03	3.37935254e-06
2.2050878e-05  	-2.41432849e-03	3.37938444e-06
2.2051081e-05  	-2.41435141e-03	3.37941640e-06
2.2051283e-05  	-2.41437437e-03	3.37944845e-06
2.2051485e-05  	-2.41439738e-03	3.37948058e-06
2.2051688e-05  	-2.41442046e-03	3.37951281e-06
2.205189e-05   	-2.41444360e-03	3.37954516e-06
2.2052093e-05  	-2.41446681e-03	3.37957762e-06
2.2052295e-05  	-2.41449007e-03	3.37961016e-06
2.2052498e-05  	-2.41451337e-03	3.37964276e-06
2.20527e-05    	-2.41453673e-03	3.37967543e-06
2.2052903e-05  	-2.41456014e-03	3.37970817e-06
2.2053105e-05  	-2.41458360e-03	3.37974096e-06
2.2053307e-05  	-2.41460711e-03	3.37977381e-06
2.205351e-05   	-2.41463067e-03	3.37980671e-06
2.2053712e-05  	-2.41465428e-03	3.37983966e-06
2.2053915e-05  	-2.41467793e-03	3.37987264e-06
2.2054117e-05  	-2.41470162e-03	3.37990565e-06
2.205432e-05   	-2.41472533e-03	3.37993868e-06
2.2054522e-05  	-2.41474907e-03	3.37997172e-06
2.2054724e-05  	-2.41477284e-03	3.38000477e-06
2.2054927e-05  	-2.41479664e-03	3.38003785e-06
2.2055129e-05  	-2.41482048e-03	3.38007095e-06
2.2055332e-05  	-2.41484434e-03	3.38010404e-06
2.2055534e-05  	-2.41486824e-03	3.38013715e-06
2.2055737e-05  	-2.41489217e-03	3.38017024e-06
2.2055939e-05  	-2.41491610e-03	3.38020337e-06
2.2056141e-05  	-2.41494006e-03	3.38023649e-06
2.2056344e-05  	-2.41496405e-03	3.38026962e-06
2.2056546e-05  	-2.41498807e-03	3.38030273e-06
2.2056749e-05  	-2.41501210e-03	3.38033582e-06
2.2056951e-05  	-2.41503615e-03	3.38036888e-06
2.2057153e-05  	-2.41506022e-03	3.38040192e-06
2.2057356e-05  	-2.41508430e-03	3.38043493e-06
2.2057558e-05  	-2.41510840e-03	3.38046788e-06
2.205776e-05   	-2.41513249e-03	3.38050078e-06
2.2057963e-05  	-2.41515658e-03	3.38053362e-06
2.2058165e-05  	-2.41518066e-03	3.38056638e-06
2.2058368e-05  	-2.41520474e-03	3.38059907e-06
2.205857e-05   	-2.41522882e-03	3.38063175e-06
2.2058772e-05  	-2.41525292e-03	3.38066440e-06
2.2058975e-05  	-2.41527706e-03	3.38069703e-06
2.2059177e-05  	-2.41530122e-03	3.38072964e-06
2.2059379e-05  	-2.41532548e-03	3.38076224e-06
2.2059582e-05  	-2.41534966e-03	3.38079485e-06
2.2059784e-05  	-2.41537390e-03	3.38082743e-06
2.2059987e-05  	-2.41539815e-03	3.38085998e-06
2.2060189e-05  	-2.41542242e-03	3.38089249e-06
2.2060391e-05  	-2.41544670e-03	3.38092496e-06
2.2060594e-05  	-2.41547100e-03	3.38095740e-06
2.2060796e-05  	-2.41549533e-03	3.38098985e-06
2.2060998e-05  	-2.41551970e-03	3.38102232e-06
2.2061201e-05  	-2.41554411e-03	3.38105481e-06
2.2061403e-05  	-2.41556857e-03	3.38108734e-06
2.2061605e-05  	-2.41559308e-03	3.38111991e-06
2.2061808e-05  	-2.41561776e-03	3.38115252e-06
2.206201e-05   	-2.41564250e-03	3.38118514e-06
2.2062212e-05  	-2.41566724e-03	3.38121773e-06
2.2062415e-05  	-2.41569198e-03	3.38125029e-06
2.2062617e-05  	-2.41571672e-03	3.38128282e-06
2.2062819e-05  	-2.41574146e-03	3.38131530e-06
2.2063022e-05  	-2.41576622e-03	3.38134777e-06
2.2063224e-05  	-2.41579103e-03	3.38138022e-06
2.2063426e-05  	-2.41581600e-03	3.38141268e-06
2.2063629e-05  	-2.41584104e-03	3.38144515e-06
2.2063831e-05  	-2.41586603e-03	3.38147767e-06
2.2064033e-05  	-2.41589106e-03	3.38151025e-06
2.2064236e-05  	-2.41591617e-03	3.38154290e-06
2.2064438e-05  	-2.41594133e-03	3.38157562e-06
2.206464e-05   	-2.41596656e-03	3.38160842e-06
2.2064843e-05  	-2.41599188e-03	3.38164127e-06
2.2065045e-05  	-2.41601744e-03	3.38167415e-06
2.2065247e-05  	-2.41604306e-03	3.38170704e-06
2.206545e-05   	-2.41606867e-03	3.38173991e-06
2.2065652e-05  	-2.41609427e-03	3.38177277e-06
2.2065854e-05  	-2.41611986e-03	3.38180564e-06
2.2066056e-05  	-2.41614547e-03	3.38183853e-06
2.2066259e-05  	-2.41617108e-03	3.38187144e-06
2.2066461e-05  	-2.41619669e-03	3.38190436e-06
2.2066663e-05  	-2.41622232e-03	3.38193729e-06
2.2066866e-05  	-2.41624796e-03	3.38197025e-06
2.2067068e-05  	-2.41627364e-03	3.38200327e-06
2.206727e-05   	-2.41629935e-03	3.38203634e-06
2.2067472e-05  	-2.41632511e-03	3.38206948e-06
2.2067675e-05  	-2.41635091e-03	3.38210267e-06
2.2067877e-05  	-2.41637675e-03	3.38213594e-06
2.2068079e-05  	-2.41640262e-03	3.38216928e-06
2.2068282e-05  	-2.41642855e-03	3.38220270e-06
2.2068484e-05  	-2.41645452e-03	3.38223620e-06
2.2068686e-05  	-2.41648054e-03	3.38226979e-06
2.2068888e-05  	-2.41650660e-03	3.38230345e-06
2.2069091e-05  	-2.41653270e-03	3.38233719e-06
2.2069293e-05  	-2.41655885e-03	3.38237100e-06
2.2069495e-05  	-2.41658505e-03	3.38240489e-06
2.2069697e-05  	-2.41661130e-03	3.38243885e-06
2.20699e-05    	-2.41663761e-03	3.38247289e-06
2.2070102e-05  	-2.41666409e-03	3.38250704e-06
2.2070304e-05  	-2.41669086e-03	3.38254129e-06
2.2070506e-05  	-2.41671746e-03	3.38257563e-06
2.2070709e-05  	-2.41674411e-03	3.38261004e-06
2.2070911e-05  	-2.41677080e-03	3.38264452e-06
2.2071113e-05  	-2.41679752e-03	3.38267906e-06
2.2071315e-05  	-2.41682426e-03	3.38271363e-06
2.2071518e-05  	-2.41685101e-03	3.38274824e-06
2.207172e-05   	-2.41687778e-03	3.38278290e-06
2.2071922e-05  	-2.41690457e-03	3.38281763e-06
2.2072124e-05  	-2.41693139e-03	3.38285242e-06
2.2072327e-05  	-2.41695824e-03	3.38288726e-06
2.2072529e-05  	-2.41698512e-03	3.38292219e-06
2.2072731e-05  	-2.41701203e-03	3.38295718e-06
2.2072933e-05  	-2.41703897e-03	3.38299224e-06
2.2073136e-05  	-2.41706594e-03	3.38302737e-06
2.2073338e-05  	-2.41709295e-03	3.38306260e-06
2.207354e-05   	-2.41712000e-03	3.38309792e-06
2.2073742e-05  	-2.41714709e-03	3.38313338e-06
2.2073945e-05  	-2.41717422e-03	3.38316894e-06
2.2074147e-05  	-2.41720139e-03	3.38320462e-06
2.2074349e-05  	-2.41722861e-03	3.38324041e-06
2.2074551e-05  	-2.41725590e-03	3.38327633e-06
2.2074753e-05  	-2.41728326e-03	3.38331240e-06
2.2074956e-05  	-2.41731068e-03	3.38334862e-06
2.2075158e-05  	-2.41733816e-03	3.38338499e-06
2.207536e-05   	-2.41736569e-03	3.38342149e-06
2.2075562e-05  	-2.41739326e-03	3.38345812e-06
2.2075765e-05  	-2.41742086e-03	3.38349487e-06
2.2075967e-05  	-2.41744848e-03	3.38353173e-06
2.2076169e-05  	-2.41747610e-03	3.38356868e-06
2.2076371e-05  	-2.41750372e-03	3.38360574e-06
2.2076574e-05  	-2.41753135e-03	3.38364289e-06
2.2076776e-05  	-2.41755898e-03	3.38368013e-06
2.2076978e-05  	-2.41758663e-03	3.38371750e-06
2.207718e-05   	-2.41761430e-03	3.38375497e-06
2.2077382e-05  	-2.41764199e-03	3.38379262e-06
2.2077585e-05  	-2.41766973e-03	3.38383039e-06
2.2077787e-05  	-2.41769752e-03	3.38386838e-06
2.2077989e-05  	-2.41772536e-03	3.38390646e-06
2.2078191e-05  	-2.41775326e-03	3.38394487e-06
